client_id,variation,count_confirm,count_start,count_step_1,count_step_2,count_step_3,time_confirm,time_start,time_step_1,time_step_2,time_step_3,start_count,Atrás,process_duration,completed
363128,test,1,1,1,1,1,1.1,0.0,0.08,0.72,1.37,1,0,0 days 00:03:16,True
363428,control,1,4,6,2,2,0.92,14461.12,2.4,2.7,2.25,4,4,0 days 00:07:18,True
363451,test,1,3,2,1,1,0.57,7452.0,0.27,0.15,0.17,3,1,5 days 04:13:09,True
363461,control,8,2,1,2,2,41690.52,59116.13,0.32,9.12,0.78,2,1,70 days 00:16:52,True
363631,control,1,1,1,3,1,1.38,0.0,0.22,3.05,2.38,1,0,0 days 00:07:02,True
363952,test,1,8,11,11,4,1.17,20176.37,7.78,8.95,2.53,8,11,14 days 00:36:48,True
364039,control,0,1,2,1,1,0.0,0.0,3925.32,0.08,0.85,1,0,0 days 00:00:00,False
364153,control,0,2,1,0,0,0.0,59223.93,0.23,0.0,0.0,2,1,0 days 00:00:00,False
364797,control,0,1,1,1,1,0.0,0.0,1.82,2.23,1.57,1,0,0 days 00:00:00,False
365203,test,1,2,2,1,1,0.8,0.87,0.38,0.25,1.48,2,1,0 days 00:02:51,True
365420,test,2,2,2,2,2,24200.17,54508.03,0.35,0.53,1.48,2,1,54 days 15:50:34,True
365525,test,4,2,2,1,1,26.72,4.97,0.28,0.12,1.67,2,1,0 days 00:33:45,True
365534,test,1,3,3,2,3,1.05,16084.12,7.82,1.35,6.72,3,2,11 days 04:21:03,True
365583,control,1,3,2,1,1,8.57,1761.28,1.25,4.92,0.47,3,1,0 days 00:15:03,True
365845,test,1,2,2,1,1,0.85,4.63,1.73,0.17,2.68,2,1,0 days 00:10:04,True
365868,control,0,3,0,0,0,0.0,1.93,0.0,0.0,0.0,3,0,0 days 00:00:00,False
366500,control,0,1,1,0,1,0.0,0.0,0.65,0.0,5.05,1,0,0 days 00:00:00,False
366858,control,1,2,1,1,1,0.97,0.0,0.73,0.18,1.27,2,0,0 days 00:03:09,True
366887,test,1,2,1,1,1,0.45,0.37,0.08,0.57,2.53,2,0,0 days 00:04:00,True
367295,test,1,1,1,1,1,5.02,0.0,0.55,0.43,2.68,1,0,0 days 00:08:41,True
367331,control,1,3,3,1,1,1.15,50.77,0.55,0.1,0.42,3,2,0 days 00:03:50,True
367638,control,1,2,1,1,1,1.05,0.02,0.37,0.62,0.6,2,0,0 days 00:02:39,True
367642,control,1,1,1,1,1,1.53,0.0,0.53,0.38,1.17,1,0,0 days 00:03:37,True
367874,control,1,1,1,1,1,1.67,0.0,1.1,0.83,1.12,1,0,0 days 00:04:43,True
368005,control,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
368396,test,0,5,1,1,1,0.0,1.98,0.07,1.27,0.55,5,1,0 days 00:00:00,False
368473,control,1,2,1,1,1,4.9,3.02,1.23,1.12,1.2,2,1,0 days 00:08:27,True
368713,control,0,1,2,2,2,0.0,0.0,3.37,0.23,1.57,1,1,0 days 00:00:00,False
368994,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
369046,test,1,1,4,1,1,0.63,0.0,7.37,0.12,1.08,1,0,0 days 00:09:12,True
369222,test,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1,0,0 days 00:00:00,False
